B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,id,plot,ndvi,evi,savi,msi,bsi,ndbi,nbi,bal,mbi,ndsoil,blfei
446.0,494.0,652.0,680.0,1021.0,1645.0,1888.0,1932.0,2096.0,2058.0,2142.0,1560.0,9,1,0.4793261868300153,1.3561525129982668,0.6843656552448527,1.108695652173913,0.07545731707317073,0.05154639175257732,753.9130434782609,890.0,0.26038338658146964,0.4104882459312839,-0.3792659368963297
482.5,445.0,596.5,595.5,993.5,1577.0,1776.5,1873.5,1991.0,1910.0,2177.0,1552.5,9,1,0.5176184690157959,1.514218009478673,0.7390310630639971,1.1619962636776087,0.08917697898251817,0.07492902110850512,691.968775020016,899.0,0.2770837051579511,0.4448580735225686,-0.4082259716457333
482.5,445.0,596.5,595.5,993.5,1577.0,1776.5,1873.5,1991.0,1910.0,2177.0,1552.5,9,1,0.5176184690157959,1.514218009478673,0.7390310630639971,1.1619962636776087,0.08917697898251817,0.07492902110850512,691.968775020016,899.0,0.2770837051579511,0.4448580735225686,-0.4082259716457333
482.5,704.5,888.5,1011.0,1206.5,1521.5,1677.5,1711.0,1838.0,1910.0,2404.5,1934.5,9,1,0.2571638501102131,0.7016137115365341,0.3671722447756194,1.4053185271770894,0.1714971702966901,0.1685092941319402,1420.7770309760374,1704.5,0.29487603305785126,0.3705278072972016,-0.3059063136456212
482.5,704.5,888.5,1011.0,1206.5,1521.5,1677.5,1711.0,1838.0,1910.0,2404.5,1934.5,9,1,0.2571638501102131,0.7016137115365341,0.3671722447756194,1.4053185271770894,0.1714971702966901,0.1685092941319402,1420.7770309760374,1704.5,0.29487603305785126,0.3705278072972016,-0.3059063136456212
482.5,807.5,959.5,1099.0,1278.5,1446.0,1543.0,1621.0,1682.0,1910.0,2544.0,2154.5,9,1,0.19191176470588237,0.6042366014585021,0.27400688421086683,1.5694016039481802,0.20003294078893188,0.22160864345738296,1724.7723627390499,2022.0,0.3051269878946119,0.3837508028259473,-0.28864499788940484
482.5,807.5,959.5,1099.0,1278.5,1446.0,1543.0,1621.0,1682.0,1910.0,2544.0,2154.5,9,1,0.19191176470588237,0.6042366014585021,0.27400688421086683,1.5694016039481802,0.20003294078893188,0.22160864345738296,1724.7723627390499,2022.0,0.3051269878946119,0.3837508028259473,-0.28864499788940484
498.5,727.5,852.5,971.0,1137.0,1324.0,1417.0,1524.0,1608.5,1793.0,2423.5,1984.5,9,1,0.2216432865731463,0.7296477107797862,0.31645232801747836,1.5902230971128608,0.20244420828905418,0.2278657378087397,1544.106627296588,1870.5,0.31709372892784893,0.3990130419457173,-0.3125423116847949
498.5,651.5,801.0,893.5,1058.0,1318.5,1465.0,1539.0,1604.0,1793.0,2266.0,1783.0,9,1,0.26536485097636175,0.8009678620176199,0.37887434400031567,1.4723846653671215,0.1811214953271028,0.19106438896189223,1315.5756985055232,1620.5,0.3110236220472441,0.380030959752322,-0.32314729210257404
446.0,426.5,578.0,526.5,955.0,1813.5,2043.5,2268.5,2349.0,2058.0,1999.0,1383.5,9,1,0.6232558139534884,1.9531337593900662,0.8898730355423212,0.8811990301961649,-0.032468154391341826,-0.06315172817809021,463.9512893982808,257.0,0.20748540081401523,0.41065511088452716,-0.41355332940483197
482.5,610.5,723.5,795.5,1012.0,1444.5,1605.5,1675.0,1782.5,1910.0,2115.0,1561.5,9,1,0.3560008095527221,1.1756449672503675,0.5082810992469226,1.2626865671641792,0.12028483448806775,0.11609498680738786,1004.4671641791044,1235.5,0.2904325889937401,0.36673960612691464,-0.34634767386345555
482.5,610.5,723.5,795.5,1012.0,1444.5,1605.5,1675.0,1782.5,1910.0,2115.0,1561.5,9,1,0.3560008095527221,1.1756449672503675,0.5082810992469226,1.2626865671641792,0.12028483448806775,0.11609498680738786,1004.4671641791044,1235.5,0.2904325889937401,0.36673960612691464,-0.34634767386345555
482.5,583.0,698.5,752.5,1006.0,1482.0,1633.5,1697.0,1880.5,1910.0,2135.0,1556.0,9,1,0.3855888956929986,1.2829394186362402,0.5505247501151055,1.2581025338833236,0.11756168359941944,0.11430062630480167,946.722156747201,1190.5,0.2925018559762435,0.38035041029053007,-0.3610284742881427
482.5,583.0,698.5,752.5,1006.0,1482.0,1633.5,1697.0,1880.5,1910.0,2135.0,1556.0,9,1,0.3855888956929986,1.2829394186362402,0.5505247501151055,1.2581025338833236,0.11756168359941944,0.11430062630480167,946.722156747201,1190.5,0.2925018559762435,0.38035041029053007,-0.3610284742881427
482.5,365.5,554.5,504.5,948.5,1642.0,1817.0,2054.5,2127.0,1910.0,1933.5,1257.0,9,1,0.605705353653771,1.6550987720234915,0.8648026043319054,0.9411048917011439,0.0037052284890901604,-0.030341023069207624,474.78741786322706,383.5,0.23727359389895136,0.38780016560861164,-0.4293106634633155
482.5,365.5,554.5,504.5,948.5,1642.0,1817.0,2054.5,2127.0,1910.0,1933.5,1257.0,9,1,0.605705353653771,1.6550987720234915,0.8648026043319054,0.9411048917011439,0.0037052284890901604,-0.030341023069207624,474.78741786322706,383.5,0.23727359389895136,0.38780016560861164,-0.4293106634633155
498.5,359.5,554.0,521.0,887.0,1504.0,1754.0,1887.5,1967.5,1793.0,1792.0,1158.5,9,1,0.5673655802366618,1.473633128437399,0.8100540987526402,0.9494039735099338,0.014473684210526316,-0.025954613398559586,494.6394701986755,425.5,0.24080198429102934,0.352992700729927,-0.4129706288192391
498.5,473.0,602.0,629.0,935.0,1439.0,1637.0,1740.0,1835.0,1793.0,2024.5,1409.5,9,1,0.4689742507387083,1.411689961880559,0.6695742601167877,1.1635057471264367,0.09051679852049728,0.07557444547748705,731.8451149425288,913.5,0.2825666795516042,0.4014417101665424,-0.3939637365159514
507.0,531.0,677.5,665.5,990.5,1520.5,1790.5,1886.0,1934.5,1810.0,2010.5,1409.5,9,1,0.47834607093866355,1.6080368906455864,0.6829636259330201,1.0660127253446448,0.05085411348910269,0.03195175157192352,709.4314687168611,790.0,0.25782133433848475,0.3507426928605654,-0.37329234972677594
408.0,328.0,452.5,435.5,739.0,1060.5,1230.0,1219.0,1372.5,1959.5,1487.5,1062.0,9,1,0.47355696585071017,1.4266205389657685,0.6760644571848442,1.2202625102543068,0.10835734870317003,0.09920561610936635,531.4243232157506,704.0,0.28943876874087837,0.40244305051172,-0.391812865497076
408.0,328.0,452.5,435.5,739.0,1060.5,1230.0,1219.0,1372.5,1959.5,1487.5,1062.0,9,1,0.47355696585071017,1.4266205389657685,0.6760644571848442,1.2202625102543068,0.10835734870317003,0.09920561610936635,531.4243232157506,704.0,0.28943876874087837,0.40244305051172,-0.391812865497076
408.0,420.5,544.0,557.0,812.0,1179.5,1351.5,1423.0,1490.5,1959.5,1700.0,1246.5,9,1,0.43737373737373736,1.3428438517599628,0.6244347181518338,1.1946591707659873,0.10084136080965736,0.08869676593019532,665.425158116655,834.0,0.27812106648357937,0.3923485060039095,-0.36958710976837866
408.0,420.5,544.0,557.0,812.0,1179.5,1351.5,1423.0,1490.5,1959.5,1700.0,1246.5,9,1,0.43737373737373736,1.3428438517599628,0.6244347181518338,1.1946591707659873,0.10084136080965736,0.08869676593019532,665.425158116655,834.0,0.27812106648357937,0.3923485060039095,-0.36958710976837866
408.0,490.5,624.0,638.5,889.0,1418.5,1659.5,1688.5,1826.5,1959.5,1769.5,1233.5,9,1,0.45122475290073055,1.4252748744400705,0.6442304552493139,1.04797157240154,0.049923697405711794,0.023423944476576055,669.1298489783832,719.5,0.25434296067355855,0.3281292059219381,-0.3603690178743033
408.0,490.5,624.0,638.5,889.0,1418.5,1659.5,1688.5,1826.5,1959.5,1769.5,1233.5,9,1,0.45122475290073055,1.4252748744400705,0.6442304552493139,1.04797157240154,0.049923697405711794,0.023423944476576055,669.1298489783832,719.5,0.25434296067355855,0.3281292059219381,-0.3603690178743033
